"","AGE","MARSTAT","EDUCATION","NUMHH","INCOME","FACE"
"256",34,"not single",12,4,106000,250000
"257",51,"not single",14,9,52000,50000
"258",42,"not single",14,5,40000,600000
"259",43,"not single",16,4,82000,300000
"260",80,"not single",16,2,36000,100000
"261",58,"not single",14,2,125000,125000
"262",24,"not single",16,2,43000,41000
"263",58,"not single",17,2,850000,1500000
"264",52,"not single",16,2,21000,150000
"265",47,"single",16,3,102000,400000
"266",56,"not single",11,2,53000,10000
"267",34,"not single",12,5,40000,10000
"268",22,"single",11,1,10000,10000
"269",53,"single",17,1,60000,1000000
"270",61,"single",13,1,40000,5000
"271",37,"single",17,1,244000,600000
"272",43,"not single",16,3,35000,40000
"273",63,"not single",16,4,66000,200000
"274",47,"not single",12,3,80000,530000
"275",82,"single",12,1,38000,10000
